Date,Open,High,Low,Close,Adj Close,Volume
2018-07-24,34.02,34.060001,33.439999,33.52,33.265617,10916700
2018-07-25,33.419998,34.040001000000004,33.389998999999996,33.889998999999996,33.632809,12141500
2018-07-26,33.810001,34.639998999999996,33.759997999999996,34.43,34.168709,9728300
2018-07-27,34.630001,34.84,33.759997999999996,33.810001,33.553413,10161300
2018-07-30,33.720001,33.959998999999996,33.41,33.669998,33.414474,10093700
2018-07-31,33.77,33.959998999999996,33.330002,33.450001,33.196148,9976100
2018-08-01,33.349998,33.450001,32.849998,33.09,32.838879,8981800
2018-08-02,33.0,33.400002,32.860001000000004,33.220001,32.967892,7235700
2018-08-03,33.369999,33.720001,33.169998,33.66,33.404548999999996,7154100
2018-08-06,33.66,34.189999,33.57,33.990002000000004,33.732048,8119000
2018-08-07,34.110001000000004,34.209998999999996,33.720001,33.779999,33.52364,5722300
2018-08-08,33.779999,33.950001,33.630001,33.84,33.583183,5504300
2018-08-09,33.860001000000004,34.209998999999996,33.759997999999996,34.150002,33.890834999999996,8115900
2018-08-10,33.549999,34.459998999999996,33.43,34.09,33.831286999999996,13198500
2018-08-13,34.110001000000004,34.450001,33.869999,33.880001,33.622883,7984400
2018-08-14,33.91,34.73,33.849998,34.400002,34.138935,9201000
2018-08-15,34.049999,34.099998,33.599998,33.860001000000004,33.603035,12381500
2018-08-16,34.060001,34.169998,33.639998999999996,33.77,33.513718,8534500
2018-08-17,33.82,34.259997999999996,33.68,34.009997999999996,33.751896,6982400
2018-08-20,34.200001,34.34,33.93,34.02,33.761818,7843900
2018-08-21,34.060001,34.869999,34.029999,34.529999,34.267948,9788800
2018-08-22,34.41,34.790001000000004,34.150002,34.700001,34.436661,7463100
2018-08-23,34.779999,34.889998999999996,34.240002000000004,34.400002,34.138935,7989400
2018-08-24,34.560001,34.880001,34.459998999999996,34.529999,34.267948,5412500
2018-08-27,34.619999,34.790001000000004,34.52,34.580002,34.31757,7464800
2018-08-28,34.740002000000004,34.790001000000004,34.459998999999996,34.740002000000004,34.476357,5877600
2018-08-29,34.779999,35.290001000000004,34.75,34.93,34.664913,5934400
2018-08-30,34.84,34.990002000000004,34.619999,34.799999,34.535896,4985500
2018-08-31,34.720001,35.060001,34.560001,34.610001000000004,34.347343,7944100
2018-09-04,34.400002,34.91,34.360001000000004,34.799999,34.535896,6743300
2018-09-05,34.639998999999996,34.689999,34.0,34.130001,33.870987,8820700
2018-09-06,34.080002,34.32,33.279999,33.66,33.404548999999996,9240100
2018-09-07,33.400002,34.02,33.139998999999996,33.990002000000004,33.732048,6445200
2018-09-10,34.139998999999996,34.200001,33.59,33.709998999999996,33.454174,7787600
2018-09-11,33.810001,34.209998999999996,33.580002,34.110001000000004,33.851139,4970600
2018-09-12,33.98,34.419998,33.75,34.259997999999996,33.999996,6035900
2018-09-13,34.43,34.849998,34.299999,34.439999,34.178631,6716800
2018-09-14,34.5,34.549999,33.959998999999996,34.099998,33.841209,5376400
2018-09-17,34.029999,34.389998999999996,34.02,34.200001,33.940453000000005,6722700
2018-09-18,34.209998999999996,34.540001000000004,34.09,34.119999,33.861061,8724500
2018-09-19,34.009997999999996,34.369999,34.009997999999996,34.220001,33.960304,13455600
2018-09-20,34.279999,34.310001,33.830002,34.240002000000004,33.980152000000004,15877000
2018-09-21,34.32,34.459998999999996,33.950001,34.040001000000004,33.78167,24875000
2018-09-24,33.830002,33.950001,33.630001,33.720001,33.464096000000005,8746500
2018-09-25,33.57,33.720001,32.599998,32.759997999999996,32.511379,20479000
2018-09-26,32.709998999999996,34.099998,32.709998999999996,33.580002,33.325161,14007000
2018-09-27,33.57,33.740002000000004,33.150002,33.34,33.086983000000004,7374800
2018-09-28,33.209998999999996,33.34,32.73,33.02,32.769409,8467200
2018-10-01,33.099998,33.150002,32.459998999999996,32.509997999999996,32.263279,11990700
2018-10-02,32.5,32.779999,32.34,32.560001,32.312901000000004,10174300
2018-10-03,32.77,33.130001,32.709998999999996,32.75,32.501461,11075500
2018-10-04,32.66,32.93,32.380001,32.630001,32.38237,12293000
2018-10-05,32.650002,32.73,32.099998,32.240002000000004,31.995328999999998,9361100
2018-10-08,32.169998,33.049999,32.099998,32.580002,32.332747999999995,8036100
2018-10-09,32.560001,34.599998,32.290001000000004,33.279999,33.027435,27415000
2018-10-10,33.09,33.18,31.66,31.67,31.429653000000002,14292200
2018-10-11,31.780001000000002,31.799999,30.76,31.4,31.161703000000003,14477800
2018-10-12,31.92,31.92,31.15,31.719998999999998,31.479273,7910500
2018-10-15,31.540001,32.150002,31.41,31.860001,31.618214000000002,5036400
2018-10-16,31.719998999999998,32.34,31.709999,32.25,32.005253,7111500
2018-10-17,32.23,32.389998999999996,31.5,32.02,31.776996999999998,10845300
