,CMA Number,Chinese Name,English Name,Landing Location,Landing Time,Peak Strength,Landing Strength,coordinate,lat,lon,area,city,prinvince
81,9711,——,Winnie,浙江省台州市温岭市石塘镇,1997年8月18日,17级，60m/s，920hPa,13级，40m/s，960hPa,"(28.278539, 121.606196)",28.278539,121.606196,"('Zhejiang Sheng', 'Taizhou Shi')",Taizhou Shi,Zhejiang Sheng
82,9713,——,Zita,广东省湛江市徐闻县新寮镇,1997年8月22日,11级，30m/s，975hPa,11级，30m/s，975hPa,"(20.618063, 110.448201)",20.618063,110.448201,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
83,9714,——,Amber,台湾省花莲县丰滨乡,1997年8月29日,15级，50m/s，940hPa,13级，40m/s，960hPa,"(23.5851901, 121.5027404)",23.5851901,121.5027404,"('Guangdong Sheng', 'Zhanjiang Shi')",Zhanjiang Shi,Guangdong Sheng
84,9714,——,Amber,福建省福州市平潭县敖东镇,1997年8月29日,15级，50m/s，940hPa,11级，30m/s，980hPa,"(25.449857, 119.73271)",25.449857,119.73271,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
85,9801,——,Nichole,台湾省台南市沿海地区,1998年7月10日,8级，18m/s，998hPa,8级，18m/s，998hPa,"(22.9997281, 120.2270277)",22.9997281,120.2270277,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
86,9801,——,Nichole,福建省漳州市龙海市港尾镇,1998年7月11日,8级，18m/s，998hPa,6级，12m/s，1002hPa,"(24.317455, 118.012103)",24.317455,118.012103,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
87,9802,——,Otto,台湾省台东县东河乡,1998年8月4日,11级，30m/s，980hPa,11级，30m/s，980hPa,"(23.0691722, 121.2855249)",23.0691722,121.2855249,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
88,9802,——,Otto,福建省福州市福清市东瀚镇,1998年8月5日,11级，30m/s，980hPa,8级，18m/s，998hPa,"(25.43389, 119.607001)",25.43389,119.607001,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
89,9803,——,Penny,广东省茂名市电白县爵山镇,1998年8月11日,10级，25m/s，985hPa,10级，25m/s，990hPa,"(21.492331, 111.345187)",21.492331,111.345187,"('Guangdong Sheng', 'Maoming Shi')",Maoming Shi,Guangdong Sheng
90,9806,——,Todd,浙江省舟山市普陀区朱家尖,1998年9月19日,13级，40m/s，960hPa,10级，25m/s，985hPa,"(29.916818, 122.392944)",29.916818,122.392944,"('Zhejiang Sheng', 'Zhoushan Shi')",Zhoushan Shi,Zhejiang Sheng
91,9902,——,Leo,广东省惠州市惠东县平海镇,1999年5月2日,12级，35m/s，970hPa,7级，15m/s，1000hPa,"(22.617149, 114.872626)",22.617149,114.872626,"('Guangdong Sheng', 'Huizhou Shi')",Huizhou Shi,Guangdong Sheng
92,9903,——,Maggie,广东省汕尾市陆丰市甲东镇,1999年6月6日,13级，40m/s，960hPa,12级，35m/s，970hPa,"(22.876766, 116.101101)",22.876766,116.101101,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
93,9903,——,Maggie,广东省江门市台山市赤溪镇,1999年6月7日,13级，40m/s，960hPa,10级，25m/s，980hPa,"(21.975801, 112.899795)",21.975801,112.899795,"('Guangdong Sheng', 'Jiangmen Shi')",Jiangmen Shi,Guangdong Sheng
94,9905,——,——,广东省汕头市濠江区沿海地区,1999年7月27日,9级，23m/s，985hPa,8级，20m/s，990hPa,"(23.286079, 116.726972)",23.286079,116.726972,"('Guangdong Sheng', 'Shantou Shi')",Shantou Shi,Guangdong Sheng
95,9907,——,Paul,山东省日照市东港区两城镇,1999年8月9日,10级，28m/s，985hPa,5级，10m/s，999hPa,"(35.571612, 119.570671)",35.571612,119.570671,"('Shandong Sheng', 'Rizhao Shi')",Rizhao Shi,Shandong Sheng
96,9908,——,Sam,香港特别行政区,1999年8月22日,12级，33m/s，975hPa,11级，30m/s，980hPa,"(36.778261, -119.4179324)",36.778261,-119.4179324,"('Shandong Sheng', 'Rizhao Shi')",Rizhao Shi,Shandong Sheng
97,9909,——,Wendy,广东省揭阳市惠来县前詹镇,1999年9月4日,8级，20m/s，990hPa,8级，20m/s，990hPa,"(22.94346, 116.42855)",22.94346,116.42855,"('Guangdong Sheng', 'Jieyang Shi')",Jieyang Shi,Guangdong Sheng
98,9910,——,York,广东省珠海市香洲区吉大沿海,1999年9月16日,11级，30m/s，975hPa,11级，30m/s，975hPa,"(22.247881, 113.575943)",22.247881,113.575943,"('Guangdong Sheng', 'Zhuhai Shi')",Zhuhai Shi,Guangdong Sheng
99,9913,——,Cam,香港特别行政区,1999年9月26日,10级，25m/s，985hPa,7级，15m/s，998hPa,"(36.778261, -119.4179324)",36.778261,-119.4179324,"('Guangdong Sheng', 'Zhuhai Shi')",Zhuhai Shi,Guangdong Sheng
100,9914,——,Dan,福建省漳州市龙海市隆教畲族乡,1999年10月9日,13级，40m/s，965hPa,12级，35m/s，970hPa,"(24.256424, 118.063418)",24.256424,118.063418,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
101,4,启德,Kai-tak,台湾省花莲县丰滨乡,2000年7月9日,12级，35m/s，965hPa,11级，30m/s，980hPa,"(23.5851901, 121.5027404)",23.5851901,121.5027404,"('Fujian Sheng', 'Zhangzhou Shi')",Zhangzhou Shi,Fujian Sheng
102,4,启德,Kai-tak,浙江省台州市玉环县坎门镇,2000年7月10日,12级，35m/s，965hPa,11级，30m/s，980hPa,"(28.093759, 121.280991)",28.093759,121.280991,"('Zhejiang Sheng', 'Taizhou Shi')",Taizhou Shi,Zhejiang Sheng
103,4,启德,Kai-tak,上海市奉贤区海湾镇,2000年7月10日,12级，35m/s，965hPa,10级，25m/s，985hPa,"(30.857286, 121.567409)",30.857286,121.567409,"('Zhejiang Sheng', 'Taizhou Shi')",Taizhou Shi,Zhejiang Sheng
104,4,启德,Kai-tak,辽宁省丹东市东港市长山镇,2000年7月11日,12级，35m/s，965hPa,8级，18m/s，992hPa,"(39.870134, 124.04266)",39.870134,124.04266,"('Liaoning Sheng', 'Dandong Shi')",Dandong Shi,Liaoning Sheng
105,8,杰拉华,Jelawat,浙江省宁波市象山县爵溪镇,2000年8月10日,14级，45m/s，950hPa,12级，35m/s，975hPa,"(29.471039, 121.948692)",29.471039,121.948692,"('Zhejiang Sheng', 'Ningbo Shi')",Ningbo Shi,Zhejiang Sheng
106,10,碧利斯,Bilis,台湾省台东县成功镇,2000年8月22日,16级，55m/s，930hPa,16级，55m/s，930hPa,"(23.101273, 121.380072)",23.101273,121.380072,"('Zhejiang Sheng', 'Ningbo Shi')",Ningbo Shi,Zhejiang Sheng
107,10,碧利斯,Bilis,福建省泉州市晋江市东石镇,2000年8月23日,16级，55m/s，930hPa,12级，35m/s，965hPa,"(24.660711, 118.460176)",24.660711,118.460176,"('Fujian Sheng', 'Quanzhou Shi')",Quanzhou Shi,Fujian Sheng
108,13,玛莉亚,Maria,广东省汕尾市海丰县小漠镇,2000年9月1日,10级，28m/s，980hPa,10级，28m/s，980hPa,"(22.774983, 115.0384)",22.774983,115.0384,"('Guangdong Sheng', 'Shanwei Shi')",Shanwei Shi,Guangdong Sheng
109,16,悟空,Wukong,海南省陵水黎族自治县光坡镇,2000年9月9日,13级，40m/s，960hPa,13级，40m/s，960hPa,"(18.54339, 110.048782)",18.54339,110.048782,"('Hainan Sheng', 'Lingshui Lizuzizhixian')",Lingshui Lizuzizhixian,Hainan Sheng
110,102,飞燕,Chebi,福建省福州市福清市沙埔镇,2001年6月23日,13级，40m/s，960hPa,12级，35m/s，970hPa,"(25.430208, 119.529051)",25.430208,119.529051,"('Fujian Sheng', 'Fuzhou Shi')",Fuzhou Shi,Fujian Sheng
